time_s,value
0.026000,-2.208070
0.026021,-2.174541
0.026042,-2.143385
0.026062,-2.066696
0.026083,-1.963366
0.026104,-1.921922
0.026125,-1.862398
0.026146,-1.873671
0.026167,-1.822824
0.026187,-1.826572
0.026208,-1.781722
0.026229,-1.762754
0.026250,-1.748954
0.026271,-1.709045
0.026292,-1.741677
0.026313,-1.669838
0.026333,-1.642110
0.026354,-1.581095
0.026375,-1.551417
0.026396,-1.468961
0.026417,-1.359809
0.026438,-1.298719
0.026458,-1.233583
0.026479,-1.240730
0.026500,-1.166579
0.026521,-1.154552
0.026542,-1.104282
0.026563,-1.114255
0.026583,-1.155886
0.026604,-1.161199
0.026625,-1.232518
0.026646,-1.232910
0.026667,-1.259233
0.026687,-1.233556
0.026708,-1.278814
0.026729,-1.293140
0.026750,-1.283053
0.026771,-1.277734
0.026792,-1.245597
0.026812,-1.282002
0.026833,-1.214726
0.026854,-1.193639
0.026875,-1.121598
0.026896,-1.098188
0.026917,-1.106430
0.026937,-1.068010
0.026958,-1.047490
0.026979,-0.977889
0.027000,-0.963217
0.027021,-0.882696
0.027042,-0.878103
0.027062,-0.851186
0.027083,-0.814044
0.027104,-0.755514
0.027125,-0.650437
0.027146,-0.638335
0.027167,-0.550279
0.027188,-0.504535
0.027208,-0.396102
0.027229,-0.309138
0.027250,-0.228245
0.027271,-0.117947
0.027292,0.006469
0.027313,0.187930
0.027333,0.277466
0.027354,0.422118
0.027375,0.500199
0.027396,0.610275
0.027417,0.699814
0.027438,0.784184
0.027458,0.911049
0.027479,0.929532
0.027500,0.976137
0.027521,0.972414
0.027542,1.035935
0.027563,1.074320
0.027583,1.118826
0.027604,1.144593
0.027625,1.163801
